scenario_id,layer,items_before,items_after,tokens_before,tokens_after,saved_tokens,elapsed_ms
tools=3_rows=400,reranking:composite,9,9,841,841,0,0.558
tools=3_rows=400,selection:token_budget,9,9,841,841,0,0.601
tools=3_rows=400,compression:dedup_messages,9,9,168395,168395,0,69.569
tools=3_rows=400,clustering:repeated_tool_calls,9,9,168395,168395,0,69.309
tools=3_rows=400,compression:tool_results,9,9,168395,845,167550,33.864
tools=3_rows=400,reranking:composite,9,9,845,845,0,0.598
tools=3_rows=400,selection:token_budget,9,9,845,845,0,0.629
tools=3_rows=400,compression:dedup_messages,9,9,168398,168398,0,67.009
tools=3_rows=400,clustering:repeated_tool_calls,9,9,168398,168398,0,68.995
tools=3_rows=400,compression:tool_results,9,9,168398,842,167556,33.858
tools=3_rows=400,reranking:composite,9,9,842,842,0,0.615
tools=3_rows=400,selection:token_budget,9,9,842,842,0,0.621
tools=5_rows=10,compression:dedup_messages,13,13,7620,7620,0,3.183
tools=5_rows=10,clustering:repeated_tool_calls,13,13,7620,7620,0,3.203
tools=5_rows=10,compression:tool_results,13,13,7620,1340,6280,1.982
tools=5_rows=10,reranking:composite,13,13,1340,1340,0,0.847
tools=5_rows=10,selection:token_budget,13,13,1340,1340,0,0.984
tools=5_rows=10,compression:dedup_messages,13,13,7620,7620,0,3.489
tools=5_rows=10,clustering:repeated_tool_calls,13,13,7620,7620,0,3.118
tools=5_rows=10,compression:tool_results,13,13,7620,1340,6280,1.925
tools=5_rows=10,reranking:composite,13,13,1340,1340,0,1.113
tools=5_rows=10,selection:token_budget,13,13,1340,1340,0,0.984
tools=5_rows=10,compression:dedup_messages,13,13,7620,7620,0,2.958
tools=5_rows=10,clustering:repeated_tool_calls,13,13,7620,7620,0,3.316
tools=5_rows=10,compression:tool_results,13,13,7620,1340,6280,1.947
tools=5_rows=10,reranking:composite,13,13,1340,1340,0,0.889
tools=5_rows=10,selection:token_budget,13,13,1340,1340,0,0.999
tools=5_rows=10,compression:dedup_messages,13,13,7615,7615,0,3.101
tools=5_rows=10,clustering:repeated_tool_calls,13,13,7615,7615,0,3.118
tools=5_rows=10,compression:tool_results,13,13,7615,1335,6280,1.952
tools=5_rows=10,reranking:composite,13,13,1335,1335,0,0.845
tools=5_rows=10,selection:token_budget,13,13,1335,1335,0,0.956
tools=5_rows=10,compression:dedup_messages,13,13,7614,7614,0,3.091
tools=5_rows=10,clustering:repeated_tool_calls,13,13,7614,7614,0,3.175
tools=5_rows=10,compression:tool_results,13,13,7614,1335,6279,1.902
tools=5_rows=10,reranking:composite,13,13,1335,1335,0,0.801
tools=5_rows=10,selection:token_budget,13,13,1335,1335,0,0.935
tools=5_rows=50,compression:dedup_messages,13,13,35615,35615,0,13.903
tools=5_rows=50,clustering:repeated_tool_calls,13,13,35615,35615,0,14.054
tools=5_rows=50,compression:tool_results,13,13,35615,1337,34278,7.563
tools=5_rows=50,reranking:composite,13,13,1337,1337,0,0.84
tools=5_rows=50,selection:token_budget,13,13,1337,1337,0,1.014
tools=5_rows=50,compression:dedup_messages,13,13,35615,35615,0,13.947
tools=5_rows=50,clustering:repeated_tool_calls,13,13,35615,35615,0,13.933
tools=5_rows=50,compression:tool_results,13,13,35615,1335,34280,7.361
tools=5_rows=50,reranking:composite,13,13,1335,1335,0,0.791
tools=5_rows=50,selection:token_budget,13,13,1335,1335,0,0.939
tools=5_rows=50,compression:dedup_messages,13,13,35610,35610,0,13.931
tools=5_rows=50,clustering:repeated_tool_calls,13,13,35610,35610,0,13.984
tools=5_rows=50,compression:tool_results,13,13,35610,1335,34275,7.406
tools=5_rows=50,reranking:composite,13,13,1335,1335,0,0.82
tools=5_rows=50,selection:token_budget,13,13,1335,1335,0,0.962
tools=5_rows=50,compression:dedup_messages,13,13,35619,35619,0,14.214
tools=5_rows=50,clustering:repeated_tool_calls,13,13,35619,35619,0,14.252
tools=5_rows=50,compression:tool_results,13,13,35619,1340,34279,7.538
tools=5_rows=50,reranking:composite,13,13,1340,1340,0,0.808
tools=5_rows=50,selection:token_budget,13,13,1340,1340,0,0.973
tools=5_rows=50,compression:dedup_messages,13,13,35618,35618,0,14.427
tools=5_rows=50,clustering:repeated_tool_calls,13,13,35618,35618,0,14.319
tools=5_rows=50,compression:tool_results,13,13,35618,1340,34278,7.478
tools=5_rows=50,reranking:composite,13,13,1340,1340,0,0.976
tools=5_rows=50,selection:token_budget,13,13,1340,1340,0,0.963
tools=5_rows=150,compression:dedup_messages,13,13,105607,105607,0,43.386
tools=5_rows=150,clustering:repeated_tool_calls,13,13,105607,105607,0,41.627
tools=5_rows=150,compression:tool_results,13,13,105607,1340,104267,21.315
tools=5_rows=150,reranking:composite,13,13,1340,1340,0,0.876
tools=5_rows=150,selection:token_budget,13,13,1340,1340,0,0.978
tools=5_rows=150,compression:dedup_messages,13,13,105609,105609,0,41.445
tools=5_rows=150,clustering:repeated_tool_calls,13,13,105609,105609,0,41.364
tools=5_rows=150,compression:tool_results,13,13,105609,1342,104267,21.306
tools=5_rows=150,reranking:composite,13,13,1342,1342,0,0.864
tools=5_rows=150,selection:token_budget,13,13,1342,1342,0,0.975
tools=5_rows=150,compression:dedup_messages,13,13,105610,105610,0,41.235
tools=5_rows=150,clustering:repeated_tool_calls,13,13,105610,105610,0,41.438
tools=5_rows=150,compression:tool_results,13,13,105610,1342,104268,21.312
tools=5_rows=150,reranking:composite,13,13,1342,1342,0,0.845
tools=5_rows=150,selection:token_budget,13,13,1342,1342,0,0.945
tools=5_rows=150,compression:dedup_messages,13,13,105612,105612,0,43.459
tools=5_rows=150,clustering:repeated_tool_calls,13,13,105612,105612,0,43.987
tools=5_rows=150,compression:tool_results,13,13,105612,1343,104269,22.415
tools=5_rows=150,reranking:composite,13,13,1343,1343,0,0.881
tools=5_rows=150,selection:token_budget,13,13,1343,1343,0,0.97
tools=5_rows=150,compression:dedup_messages,13,13,105613,105613,0,42.558
tools=5_rows=150,clustering:repeated_tool_calls,13,13,105613,105613,0,41.504
tools=5_rows=150,compression:tool_results,13,13,105613,1343,104270,21.344
tools=5_rows=150,reranking:composite,13,13,1343,1343,0,0.867
tools=5_rows=150,selection:token_budget,13,13,1343,1343,0,0.99
tools=5_rows=400,compression:dedup_messages,13,13,280601,280601,0,108.812
tools=5_rows=400,clustering:repeated_tool_calls,13,13,280601,280601,0,108.599
tools=5_rows=400,compression:tool_results,13,13,280601,1340,279261,54.946
tools=5_rows=400,reranking:composite,13,13,1340,1340,0,0.858
tools=5_rows=400,selection:token_budget,13,13,1340,1340,0,1.022
tools=5_rows=400,compression:dedup_messages,13,13,280609,280609,0,108.914
tools=5_rows=400,clustering:repeated_tool_calls,13,13,280609,280609,0,108.313
tools=5_rows=400,compression:tool_results,13,13,280609,1343,279266,56.175
tools=5_rows=400,reranking:composite,13,13,1343,1343,0,0.883
tools=5_rows=400,selection:token_budget,13,13,1343,1343,0,0.976
tools=5_rows=400,compression:dedup_messages,13,13,280599,280599,0,115.144
tools=5_rows=400,clustering:repeated_tool_calls,13,13,280599,280599,0,114.562
tools=5_rows=400,compression:tool_results,13,13,280599,1340,279259,56.283
tools=5_rows=400,reranking:composite,13,13,1340,1340,0,0.876
tools=5_rows=400,selection:token_budget,13,13,1340,1340,0,0.962
